NODE,X,Y,Z
1,18.55,0.8,42
2,18.55,0,42
3,-18.55,0.8,42
4,-18.55,0,42
5,18.55,-0.8,42
6,-18.55,-0.8,42
7,10.25,1.375,42
8,7.95,1.534,42
9,-10.25,1.375,42
10,-7.95,1.534,42
11,10.25,-1.375,42
12,7.95,-1.534,42
13,-10.25,-1.375,42
14,-7.95,-1.534,42
15,4.95,1.742,42
16,-4.95,1.742,42
17,4.95,-1.742,42
18,-4.95,-1.742,42
19,1.95,1.95,42
20,-1.95,1.95,42
21,1.95,-1.95,42
22,-1.95,-1.95,42
23,2.3,2.3,26
24,2.5,2.5,22
25,-2.3,2.3,26
26,-2.5,2.5,22
27,2.3,-2.3,26
28,2.5,-2.5,22
29,-2.3,-2.3,26
30,-2.5,-2.5,22
31,2.7,2.7,18
32,-2.7,2.7,18
33,2.7,-2.7,18
34,-2.7,-2.7,18
35,0,1.95,42
36,0,-1.95,42
37,1.95,0,42
38,-1.95,0,42
39,1.95,1.95,33
40,2.12,2.12,29.6
41,-1.95,1.95,33
42,-2.12,2.12,29.6
43,1.95,-1.95,33
44,2.12,-2.12,29.6
45,-1.95,-1.95,33
46,-2.12,-2.12,29.6
47,1.95,1.95,45.4
48,-1.95,1.95,45.4
49,1.95,-1.95,45.4
50,-1.95,-1.95,45.4
51,1.95,1.95,39
52,-1.95,1.95,39
53,1.95,-1.95,39
54,-1.95,-1.95,39
55,1.95,1.95,36
56,-1.95,1.95,36
57,1.95,-1.95,36
58,-1.95,-1.95,36
59,17.365,0.882,42
60,-17.365,0.882,42
61,17.365,-0.882,42
62,-17.365,-0.882,42
63,16.179,0.964,42
64,-16.179,0.964,42
65,16.179,-0.964,42
66,-16.179,-0.964,42
67,14.465,1.083,42
68,-14.465,1.083,42
69,14.465,-1.083,42
70,-14.465,-1.083,42
71,12.75,1.202,42
72,-12.75,1.202,42
73,12.75,-1.202,42
74,-12.75,-1.202,42
75,10.25,1.375,44.8
76,7.95,1.534,44.966
77,-10.25,1.375,44.8
78,-7.95,1.534,44.966
79,10.25,-1.375,44.8
80,7.95,-1.534,44.966
81,-10.25,-1.375,44.8
82,-7.95,-1.534,44.966
83,4.95,1.742,45.183
84,-4.95,1.742,45.183
85,4.95,-1.742,45.183
86,-4.95,-1.742,45.183
87,16.179,0.964,42.8
88,-16.179,0.964,42.8
89,16.179,-0.964,42.8
90,-16.179,-0.964,42.8
91,14.464,1.083,43.378
92,-14.464,1.083,43.378
93,14.464,-1.083,43.378
94,-14.464,-1.083,43.378
95,12.75,1.202,43.957
96,-12.75,1.202,43.957
97,12.75,-1.202,43.957
98,-12.75,-1.202,43.957
99,0,2.7,18
100,0,-2.7,18
101,2.7,0,18
102,-2.7,0,18
103,0,1.95,33
104,0,-1.95,33
105,1.95,0,33
106,-1.95,0,33
107,13.55,0.4,48
108,13.55,-0.4,48
109,-13.55,0.4,48
110,-13.55,-0.4,48
111,1.35,1.35,18
112,-1.35,1.35,18
113,1.35,-1.35,18
114,-1.35,-1.35,18
115,12.75,0.294,48.8
116,11.748,0.553,48
117,-12.75,0.294,48.8
118,-11.748,0.553,48
119,12.75,-0.294,48.8
120,11.748,-0.553,48
121,-12.75,-0.294,48.8
122,-11.748,-0.553,48
123,12.75,0.468,48
124,-12.75,0.468,48
125,12.75,-0.468,48
126,-12.75,-0.468,48
127,10.482,0.88,46.989
128,-10.482,0.88,46.989
129,10.482,-0.88,46.989
130,-10.482,-0.88,46.989
131,9.216,1.207,45.978
132,-9.216,1.207,45.978
133,9.216,-1.207,45.978
134,-9.216,-1.207,45.978
135,11.917,0.77,46.933
136,-11.917,0.77,46.933
137,11.917,-0.77,46.933
138,-11.917,-0.77,46.933
139,11.083,1.073,45.867
140,-11.083,1.073,45.867
141,11.083,-1.073,45.867
142,-11.083,-1.073,45.867
143,18.55,0.8,42.8
144,-18.55,0.8,42.8
145,18.55,-0.8,42.8
146,-18.55,-0.8,42.8
147,0,0,45.4
148,0.975,0.975,33
149,-0.975,0.975,33
150,0.975,-0.975,33
151,-0.975,-0.975,33
152,3.6,3.6,9
153,4.5,4.5,0
154,-3.6,3.6,9
155,-4.5,4.5,0
156,3.6,-3.6,9
157,4.5,-4.5,0
158,-3.6,-3.6,9
159,-4.5,-4.5,0
160,2.95,2.95,15.5
161,-2.95,2.95,15.5
162,2.95,-2.95,15.5
163,-2.95,-2.95,15.5
164,3.4,3.4,11
165,-3.4,3.4,11
166,3.4,-3.4,11
167,-3.4,-3.4,11
168,0,3.6,9
169,0,-3.6,9
170,3.6,0,9
171,-3.6,0,9
172,1.8,3.6,9
173,-1.8,3.6,9
174,1.8,-3.6,9
175,-1.8,-3.6,9
176,3.6,1.8,9
177,-3.6,1.8,9
178,3.6,-1.8,9
179,-3.6,-1.8,9
180,2.4,2.4,9
181,-2.4,2.4,9
182,2.4,-2.4,9
183,-2.4,-2.4,9
184,1.2,3,9
185,-1.2,3,9
186,1.2,-3,9
187,-1.2,-3,9
188,3,1.2,9
189,-3,1.2,9
190,3,-1.2,9
191,-3,-1.2,9
