SID, L1, L2, T1, T2
1, 0.18, 0.18, 0.016, 0.016
2, 0.18, 0.18, 0.014, 0.014
3, 0.16, 0.16, 0.014, 0.014
4, 0.16, 0.16, 0.012, 0.012
5, 0.14, 0.14, 0.012, 0.012
6, 0.125, 0.125, 0.01, 0.01
7, 0.125, 0.125, 0.008, 0.008
8, 0.11, 0.11, 0.01, 0.01
9, 0.1, 0.1, 0.008, 0.008
10, 0.09, 0.09, 0.008, 0.008
11, 0.09, 0.09, 0.007, 0.007
12, 0.08, 0.08, 0.007, 0.007
13, 0.08, 0.08, 0.006, 0.006
14, 0.075, 0.075, 0.006, 0.006
15, 0.075, 0.075, 0.005, 0.005
16, 0.07, 0.07, 0.005, 0.005
17, 0.063, 0.063, 0.005, 0.005
18, 0.056, 0.056, 0.005, 0.005
19, 0.056, 0.056, 0.004, 0.004
20, 0.05, 0.05, 0.004, 0.004
21, 0.045, 0.045, 0.004, 0.004
22, 0.2, 0.2, 0.018, 0.018
23, 0.2, 0.2, 0.016, 0.016
24, 0.125, 0.125, 0.01, 0.01
25, 0.125, 0.125, 0.008, 0.008
26, 0.11, 0.11, 0.008, 0.008
27, 0.09, 0.09, 0.007, 0.007
28, 0.056, 0.056, 0.005, 0.005
29, 0.056, 0.056, 0.004, 0.004
30, 0.04, 0.04, 0.004, 0.004
